date,open,close,high,low,volume,amount
2020-01-02,896.77,898.77,913.83,884.77,148099,16696837120.0
2020-01-03,885.77,847.33,885.77,845.67,130319,14266380544.0
2020-01-06,839.63,846.76,861.67,836.07,63415,6853917696.0
2020-01-07,846.27,863.3,867.77,845.17,47854,5220697088.0
2020-01-08,853.82,856.91,864.27,851.35,25008,2720371920.0
2020-01-09,862.77,871.47,874.16,858.77,37406,4110949808.0
2020-01-10,877.77,881.27,884.76,871.27,35976,3993457120.0
2020-01-13,881.27,893.04,897.97,880.77,38516,4325688064.0
2020-01-14,892.97,876.17,893.66,871.77,35145,3916300784.0
2020-01-15,877.78,880.9,890.37,873.77,26029,2895603680.0
2020-01-16,887.64,875.77,887.64,871.35,23192,2571593136.0
2020-01-17,878.77,876.27,881.55,869.78,23473,2599645152.0
2020-01-20,880.63,859.77,880.63,850.77,35391,3858246848.0
2020-01-21,849.77,844.07,855.77,841.07,32874,3542441312.0
2020-01-22,838.77,844.28,852.77,824.15,36200,3875275072.0
2020-01-23,844.77,821.57,844.77,805.77,53468,5638945792.0
2020-02-03,753.77,772.69,779.45,748.77,123443,12314991872.0
2020-02-04,783.77,806.78,825.77,779.78,62624,6490469120.0
2020-02-05,818.77,818.76,822.77,801.8,47418,4956355328.0
2020-02-06,828.2,839.77,843.77,820.79,47171,5011246336.0
2020-02-07,838.78,844.77,845.77,829.79,31279,3348894576.0
2020-02-10,830.77,835.26,843.37,825.97,30533,3251908512.0
2020-02-11,831.77,866.77,868.45,831.57,47918,5222918912.0
2020-02-12,857.77,866.04,867.56,854.65,28125,3072293968.0
2020-02-13,866.77,859.77,882.66,856.78,30357,3335277424.0
2020-02-14,859.22,856.77,862.28,851.88,23288,2534568400.0
2020-02-17,851.27,862.59,864.96,851.17,27028,2946182656.0
2020-02-18,858.78,852.77,865.65,851.77,26665,2897729696.0
2020-02-19,853.77,865.27,870.27,846.77,37051,4052365600.0
2020-02-20,865.47,886.77,892.77,864.18,46803,5220660992.0
2020-02-21,880.23,881.65,892.31,878.78,28940,3225337168.0
2020-02-24,874.27,855.95,878.77,854.27,38650,4221857472.0
2020-02-25,846.77,843.58,850.86,836.65,38386,4127432128.0
2020-02-26,830.77,842.47,852.77,823.77,43561,4663278336.0
2020-02-27,844.77,856.16,863.76,844.77,34498,3758783808.0
2020-02-28,839.07,825.77,850.77,818.74,49947,5307929344.0
2020-03-02,818.88,854.78,865.32,818.78,47663,5154329088.0
2020-03-03,866.77,881.77,887.65,866.77,50250,5585227776.0
2020-03-04,893.77,897.69,907.77,885.01,53793,6080149248.0
